dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
13370	0.401	19317	13463	14735	18900	7758
13412	0.402	19317	13495	14735	18894	7778
13455	0.403	19317	13460	14735	18873	7801
13497	0.404	19317	13420	14735	18893	7822
13540	0.406	19317	13368	14735	18857	7845
13582	0.407	19317	13323	14735	18910	7863
13625	0.408	19317	13290	14735	18888	7892
13667	0.409	19317	13393	14735	18874	7907
13710	0.41	19317	13308	14735	18879	7927
13752	0.411	19317	13244	14735	18852	7943
13794	0.412	19317	13228	14735	18887	7963
13837	0.413	19317	13301	14735	18882	7980
13879	0.414	19317	13258	14735	18868	8002
13922	0.415	19317	13187	14735	18897	8024
13964	0.416	19317	13092	14735	18848	8043
14007	0.417	19317	13283	14735	18869	8059
14049	0.418	19317	13154	14735	18863	8082
14092	0.419	19317	13070	14735	18871	8101
14134	0.42	19317	13096	14735	18859	8121
14176	0.421	19317	13010	14735	18811	8135
14219	0.422	19317	13096	14735	18886	8157
14261	0.423	19317	13132	14735	18902	8174
14304	0.424	19317	13010	14735	18855	8196
14346	0.425	19317	13054	14735	18870	8216
14389	0.426	19317	13036	14735	18876	8233
14431	0.427	19317	13016	14735	18867	8255
14474	0.428	19317	12922	14735	18830	8279
14516	0.429	19317	12933	14735	18831	8301
14558	0.43	19317	12858	14735	18840	8318
14601	0.431	19317	12909	14735	18844	8343
14643	0.432	19317	12946	14735	18844	8362
14686	0.434	19317	12887	14735	18860	8384
14728	0.435	19317	12937	14735	18849	8411
14771	0.436	19317	12934	14735	18851	8434
14813	0.437	19317	12797	14735	18831	8452
14856	0.438	19317	12802	14735	18860	8476
14898	0.439	19317	12772	14735	18815	8489
14940	0.44	19317	12804	14735	18841	8509
14983	0.441	19317	12720	14735	18824	8525
15025	0.442	19317	12728	14735	18820	8546
15068	0.443	19317	12776	14735	18834	8564
15110	0.444	19317	12740	14735	18825	8582
15153	0.444	19317	12656	14735	18835	8596
15195	0.446	19317	12634	14735	18816	8618
15238	0.447	19317	12676	14735	18862	8637
15280	0.447	19317	12670	14735	18814	8654
15323	0.449	19317	12606	14735	18827	8676
15365	0.45	19317	12541	14735	18835	8695
15407	0.451	19317	12565	14735	18829	8713
15450	0.452	19317	12549	14735	18839	8733
15492	0.453	19317	12511	14735	18823	8757
15535	0.454	19317	12520	14735	18825	8775
15577	0.455	19317	12511	14735	18779	8791
15620	0.456	19317	12499	14735	18804	8810
15662	0.457	19317	12392	14735	18806	8829
15705	0.458	19317	12484	14735	18815	8852
15747	0.459	19317	12449	14735	18842	8875
15789	0.46	19317	12386	14735	18830	8895
15832	0.461	19317	12358	14735	18850	8914
15874	0.462	19317	12337	14735	18803	8933
15917	0.463	19317	12311	14735	18786	8955
15959	0.464	19317	12280	14735	18792	8974
16002	0.465	19317	12345	14735	18822	8994
16044	0.466	19317	12205	14735	18797	9017
16087	0.467	19317	12295	14735	18792	9036
16129	0.468	19317	12267	14735	18817	9052
16171	0.469	19317	12241	14735	18801	9071
16214	0.47	19317	12225	14735	18796	9092
16256	0.471	19317	12225	14735	18799	9110
16299	0.472	19317	12190	14735	18781	9126
16341	0.473	19317	12108	14735	18814	9148
16384	0.474	19317	12143	14735	18791	9172
16426	0.475	19317	12141	14735	18805	9186
16469	0.476	19317	12100	14735	18792	9204
16511	0.477	19317	12162	14735	18775	9223
16553	0.478	19317	12123	14735	18802	9245
16596	0.479	19317	12111	14735	18767	9263
16638	0.48	19317	11942	14735	18784	9291
16681	0.482	19317	12032	14735	18792	9315
16723	0.483	19317	12047	14735	18755	9331
16766	0.484	19317	11937	14735	18778	9355
16808	0.485	19317	11935	14735	18757	9371
16851	0.485	19317	11964	14735	18772	9386
16893	0.486	19317	11916	14735	18773	9404
16935	0.487	19317	11975	14735	18758	9422
16978	0.488	19317	11983	14735	18784	9444
17020	0.489	19317	11866	14735	18748	9464
17063	0.491	19317	11937	14735	18773	9488
17105	0.492	19317	11822	14735	18780	9509
17148	0.493	19317	11930	14735	18767	9526
17190	0.494	19317	11898	14735	18760	9544
17233	0.494	19317	11831	14735	18764	9558
17275	0.495	19317	11840	14735	18755	9575
17317	0.496	19317	11715	14735	18730	9586
17360	0.497	19317	11755	14735	18756	9604
17402	0.498	19317	11700	14735	18728	9621
17445	0.499	19317	11761	14735	18720	9644
17487	0.499	19317	11714	14735	18710	9656
17530	0.5	19317	11621	14735	18723	9676
17572	0.501	19317	11602	14735	18728	9691
17615	0.502	19317	11634	14735	18717	9711
17657	0.503	19317	11679	14735	18740	9726
17699	0.504	19317	11587	14735	18721	9741
17742	0.505	19317	11694	14735	18739	9759
17784	0.506	19317	11659	14735	18764	9778
17827	0.507	19317	11531	14735	18735	9800
17869	0.508	19317	11527	14735	18735	9821
17912	0.509	19317	11550	14735	18728	9839
17954	0.51	19317	11533	14735	18737	9857
17997	0.511	19317	11566	14735	18703	9881
18039	0.512	19317	11369	14735	18711	9898
18081	0.513	19317	11485	14735	18745	9918
18124	0.514	19317	11377	14735	18722	9932
18166	0.515	19317	11379	14735	18722	9949
18209	0.516	19317	11382	14735	18740	9970
18251	0.517	19317	11338	14735	18724	9990
18294	0.518	19317	11395	14735	18698	10014
18336	0.519	19317	11316	14735	18697	10034
18379	0.52	19317	11227	14735	18722	10055
18421	0.521	19317	11354	14735	18710	10075
18464	0.522	19317	11260	14735	18731	10098
18506	0.523	19317	11306	14735	18673	10115
18548	0.524	19317	11289	14735	18714	10137
18591	0.526	19317	11189	14735	18690	10161
18633	0.526	19317	11236	14735	18690	10179
18676	0.527	19317	11161	14735	18683	10199
18718	0.528	19317	11269	14735	18735	10214
18761	0.529	19317	11186	14735	18706	10234
18803	0.53	19317	11190	14735	18707	10252
18846	0.531	19317	11150	14735	18711	10274
18888	0.532	19317	11034	14735	18723	10290
18930	0.533	19317	11057	14735	18663	10308
18973	0.534	19317	11105	14735	18685	10320
19015	0.535	19317	11002	14735	18657	10339
19058	0.536	19317	11084	14735	18687	10357
19100	0.537	19317	10998	14735	18715	10374
19143	0.538	19317	10953	14735	18665	10396
19185	0.538	19317	10956	14735	18689	10408
19228	0.539	19317	10889	14735	18667	10428
19270	0.54	19317	10904	14735	18658	10440
19312	0.541	19317	10863	14735	18682	10460
19355	0.542	19317	10819	14735	18690	10477
19397	0.543	19317	10798	14735	18657	10493
19440	0.544	19317	10848	14735	18642	10512
19482	0.545	19317	10886	14735	18641	10528
19525	0.546	19317	10873	14735	18671	10549
19567	0.547	19317	10897	14735	18673	10570
19610	0.548	19317	10783	14735	18640	10594
19652	0.549	19317	10700	14735	18667	10609
19694	0.549	19317	10696	14735	18675	10621
19737	0.55	19317	10755	14735	18666	10639
19779	0.551	19317	10732	14735	18638	10662
19822	0.553	19317	10668	14735	18640	10684
19864	0.553	19317	10654	14735	18651	10701
19907	0.555	19317	10718	14735	18676	10723
19949	0.556	19317	10656	14735	18662	10741
19992	0.557	19317	10592	14735	18649	10762
20034	0.557	19317	10659	14735	18645	10775
20076	0.558	19317	10620	14735	18636	10797
20119	0.559	19317	10559	14735	18640	10810
20161	0.56	19317	10467	14735	18644	10828
20204	0.561	19317	10534	14735	18628	10845
20246	0.562	19317	10551	14735	18649	10861
20289	0.563	19317	10527	14735	18637	10880
20331	0.564	19317	10434	14735	18631	10896
20374	0.564	19317	10612	14735	18672	10914
20416	0.565	19317	10438	14735	18623	10933
20458	0.566	19317	10413	14735	18664	10944
20501	0.567	19317	10408	14735	18644	10960
20543	0.568	19317	10427	14735	18640	10975
20586	0.569	19317	10335	14735	18639	10998
20628	0.57	19317	10368	14735	18617	11016
20671	0.571	19317	10354	14735	18636	11035
20713	0.572	19317	10287	14735	18653	11052
20756	0.573	19317	10303	14735	18638	11072
20798	0.573	19317	10237	14735	18648	11087
20840	0.574	19317	10318	14735	18648	11107
20883	0.575	19317	10237	14735	18593	11125
20925	0.576	19317	10171	14735	18645	11141
20968	0.577	19317	10252	14735	18620	11156
21010	0.578	19317	10140	14735	18613	11171
21053	0.579	19317	10138	14735	18609	11188
21095	0.58	19317	10167	14735	18631	11213
21138	0.581	19317	10091	14735	18603	11226
21180	0.581	19317	10120	14735	18598	11241
21223	0.582	19317	10048	14735	18633	11259
21265	0.583	19317	10087	14735	18641	11279
21307	0.585	19317	10074	14735	18603	11301
21350	0.586	19317	10077	14735	18597	11320
21392	0.586	19317	9971	14735	18608	11334
21435	0.587	19317	10026	14735	18600	11352
21477	0.588	19317	10019	14735	18616	11369
21520	0.589	19317	9993	14735	18615	11391
21562	0.59	19317	9921	14735	18594	11403
21605	0.591	19317	9895	14735	18602	11418
21647	0.592	19317	9965	14735	18607	11438
21689	0.593	19317	9906	14735	18615	11458
21732	0.594	19317	9920	14735	18622	11477
21774	0.595	19317	9879	14735	18586	11494
21817	0.595	19317	9919	14735	18565	11509
21859	0.596	19317	9776	14735	18607	11528
21902	0.597	19317	9742	14735	18596	11546
21944	0.598	19317	9964	14735	18594	11564
21987	0.599	19317	9704	14735	18575	11579
22029	0.6	19317	9791	14735	18593	11601
22071	0.601	19317	9655	14735	18606	11625
22114	0.603	19317	9702	14735	18589	11649
22156	0.603	19317	9675	14735	18571	11666
22199	0.604	19317	9742	14735	18586	11681
22241	0.605	19317	9686	14735	18584	11703
22284	0.606	19317	9600	14735	18583	11716
22326	0.607	19317	9703	14735	18580	11732
22369	0.607	19317	9608	14735	18571	11741
22411	0.608	19317	9520	14735	18549	11760
22453	0.609	19317	9478	14735	18579	11774
22496	0.61	19317	9520	14735	18546	11797
22538	0.611	19317	9658	14735	18557	11814
22581	0.612	19317	9561	14735	18573	11836
22623	0.613	19317	9438	14735	18596	11855
22666	0.614	19317	9502	14735	18598	11868
22708	0.615	19317	9502	14735	18559	11888
22751	0.616	19317	9428	14735	18564	11904
22793	0.617	19317	9406	14735	18566	11925
22835	0.617	19317	9392	14735	18554	11937
22878	0.618	19317	9461	14735	18580	11955
22920	0.619	19317	9430	14735	18559	11975
22963	0.62	19317	9369	14735	18574	11993
23005	0.621	19317	9324	14735	18544	12014
23048	0.622	19317	9426	14735	18546	12033
23090	0.624	19317	9296	14735	18540	12057
23133	0.624	19317	9210	14735	18551	12073
23175	0.626	19317	9309	14735	18552	12095
23217	0.627	19317	9278	14735	18541	12115
23260	0.628	19317	9315	14735	18569	12133
23302	0.629	19317	9290	14735	18544	12154
23345	0.63	19317	9247	14735	18548	12171
23387	0.63	19317	9169	14735	18546	12189
23430	0.631	19317	9189	14735	18542	12205
23472	0.632	19317	9109	14735	18563	12220
23515	0.633	19317	9105	14735	18553	12239
23557	0.634	19317	9117	14735	18549	12258
23599	0.635	19317	9001	14735	18543	12276
23642	0.636	19317	9119	14735	18554	12290
23684	0.637	19317	9168	14735	18569	12307
23727	0.637	19317	9049	14735	18523	12323
23769	0.638	19317	9013	14735	18519	12338
23812	0.639	19317	8903	14735	18511	12357
23854	0.64	19317	8950	14735	18518	12373
23897	0.641	19317	8870	14735	18522	12394
23939	0.642	19317	9003	14735	18548	12409
23981	0.643	19317	9072	14735	18531	12433
24024	0.644	19317	8850	14735	18561	12444
24066	0.645	19317	8971	14735	18539	12462
24109	0.645	19317	9000	14735	18541	12477
24151	0.646	19317	8915	14735	18508	12494
24194	0.647	19317	8820	14735	18520	12517
24236	0.649	19317	8863	14735	18529	12539
24279	0.649	19317	8757	14735	18493	12556
24321	0.65	19317	8827	14735	18518	12573
24364	0.651	19317	8777	14735	18519	12588
24406	0.652	19317	8762	14735	18519	12606
24448	0.653	19317	8730	14735	18559	12627
24491	0.654	19317	8734	14735	18519	12645
24533	0.655	19317	8758	14735	18549	12663
24576	0.656	19317	8697	14735	18527	12684
24618	0.657	19317	8669	14735	18511	12696
24661	0.657	19317	8673	14735	18489	12710
24703	0.658	19317	8614	14735	18512	12723
24746	0.659	19317	8714	14735	18515	12743
24788	0.66	19317	8616	14735	18454	12757
24830	0.661	19317	8581	14735	18535	12777
24873	0.662	19317	8494	14735	18480	12790
24915	0.663	19317	8668	14735	18507	12810
24958	0.663	19317	8570	14735	18502	12825
25000	0.664	19317	8519	14735	18531	12843
25043	0.665	19317	8457	14735	18491	12861
25085	0.666	19317	8546	14735	18467	12879
25128	0.667	19317	8470	14735	18466	12897
25170	0.668	19317	8450	14735	18501	12912
25212	0.669	19317	8414	14735	18458	12931
25255	0.67	19317	8385	14735	18522	12950
25297	0.671	19317	8387	14735	18495	12964
25340	0.672	19317	8404	14735	18508	12986
25382	0.673	19317	8363	14735	18471	13001
25425	0.674	19317	8355	14735	18515	13025
25467	0.675	19317	8399	14735	18506	13043
25510	0.676	19317	8334	14735	18473	13059
25552	0.677	19317	8256	14735	18483	13080
25594	0.677	19317	8287	14735	18467	13093
25637	0.678	19317	8244	14735	18501	13109
25679	0.679	19317	8265	14735	18460	13124
25722	0.679	19317	8271	14735	18450	13131
25764	0.68	19317	8158	14735	18502	13145
25807	0.681	19317	8243	14735	18466	13165
25849	0.682	19317	8137	14735	18463	13186
25892	0.683	19317	8220	14735	18502	13207
25934	0.684	19317	8048	14735	18438	13222
25976	0.685	19317	8081	14735	18486	13234
26019	0.685	19317	8036	14735	18457	13249
26061	0.686	19317	7945	14735	18452	13268
26104	0.687	19317	8066	14735	18477	13286
26146	0.688	19317	8035	14735	18467	13301
26189	0.689	19317	8003	14735	18508	13315
26231	0.69	19317	7948	14735	18432	13332
26274	0.691	19317	7939	14735	18463	13351
26316	0.691	19317	8015	14735	18470	13366
26358	0.693	19317	7877	14735	18513	13388
26401	0.693	19317	7910	14735	18483	13398
26443	0.694	19317	7879	14735	18478	13412
26486	0.695	19317	7950	14735	18502	13428
26528	0.696	19317	7888	14735	18464	13446
26571	0.696	19317	7874	14735	18482	13463
26613	0.697	19317	7956	14735	18479	13481
26656	0.698	19317	7734	14735	18469	13497
26698	0.699	19317	7814	14735	18492	13510
26740	0.7	19317	7848	14735	18439	13525
